text_id,en,da,nl,sv,no
str_dashboard,Dashboard,Dashboard,,,
str_settings,Settings,Indstillinger,,,
str_humidity,Humidity,Luftfugtighed,,,
str_male,Male,Mand,,,
str_female,Female,Kvinde,,,
