Stations_id,lat,lon
00001,47.8413,8.8493
00003,50.7827,6.0941
00044,52.9335,8.2370
00052,53.6623,10.1990
00061,48.8443,12.6171
00070,48.2052,9.0371
00071,48.2156,8.9784
00072,48.2766,9.0001
00073,48.6159,13.0506
00078,52.4853,7.9126
00091,50.7446,9.3450
00093,50.7691,9.2542
00098,51.1890,8.4671
00102,53.8617,8.1266
00116,50.9833,12.4333
00125,47.8342,10.8667
00129,53.6893,13.2420
00131,51.0881,12.9326
00132,49.7725,12.3891
00142,48.4060,11.3117
00150,49.7273,8.1164
00151,49.4691,11.8546
00154,48.0197,12.2924
00161,50.4237,7.4202
00164,53.0316,13.9907
00167,53.8412,13.6846
00169,50.5730,13.0053
00172,52.2486,9.5056
00174,49.1886,7.9766
00175,49.2964,10.5751
00177,49.3158,10.5815
00183,54.6792,13.4343
00184,52.6769,12.0077
00185,54.6289,9.9294
00186,51.3773,8.0713
00191,49.9695,9.9113
00193,51.3845,9.0820
00198,51.3745,11.2920
00202,49.9778,9.1114
00207,51.7498,11.4667
00211,50.5800,8.4685
00217,47.8774,11.3642
00221,48.5515,11.7117
00222,50.5907,12.7140
00231,48.3723,10.8948
00232,48.4254,10.9420
00243,53.4621,7.4670
00257,48.7270,8.2458
00259,47.8064,7.6387
00268,48.5293,8.2727
00273,47.8413,9.6606
00282,49.8742,10.9206
00283,49.8808,10.8695
00284,49.8800,10.8800
00288,53.8409,13.7549
00294,52.3199,9.4300
00298,54.3406,12.7108
00303,52.0614,13.4996
00314,51.1604,14.5042
00320,49.9667,11.5197
00326,51.7204,8.0577
00327,53.6234,8.8323
00330,49.5617,8.9673
00335,54.3426,10.6018
00342,52.3170,8.1694
00348,50.4135,7.5886
00355,49.6789,8.6276
00361,47.6344,13.0109
00365,49.3311,11.4303
00368,52.8152,9.9248
00377,49.1070,7.9967
00379,50.9074,11.2665
00386,51.0454,8.3851
00390,50.9837,8.3683
00395,52.4167,13.4833
00399,52.5198,13.4054
00400,52.6309,13.5022
00402,52.4564,13.2997
00403,52.4537,13.3017
00405,52.4500,13.6500
00407,52.6461,13.2858
00408,52.5333,13.3833
00410,52.4040,13.7309
00416,52.4069,13.4127
00417,52.4144,13.3036
00420,52.5447,13.5598
00422,52.5333,13.3833
00424,52.5000,13.4667
00425,52.4044,13.4838
00427,52.3807,13.5306
00429,52.5667,13.1694
00430,52.5644,13.3088
00432,52.6044,13.2952
00433,52.4675,13.4021
00434,52.4553,13.4699
00435,52.4289,13.2327
00445,51.8218,11.7109
00450,49.9186,7.0664
00460,49.2640,6.6868
00474,48.1252,9.7639
00480,50.9275,8.4935
00502,49.8747,9.4883
00524,51.6333,12.3167
00526,50.6738,11.2805
00535,50.0372,7.3079
00550,50.9041,11.7985
00553,51.8380,6.6107
00554,51.8293,6.5365
00555,51.4789,7.2697
00576,48.6759,8.9732
00578,48.9451,11.3667
00588,51.7520,9.3953
00591,53.3911,10.6878
00592,53.8634,9.7344
00596,54.0028,11.1908
00598,50.7285,7.0839
00599,50.7055,7.1467
00601,50.6983,7.0356
00603,50.7349,7.1931
00606,48.0791,10.1977
00614,51.5709,9.3120
00617,51.8728,6.8862
00619,53.5788,6.6703
00642,53.3517,8.4969
00643,53.2960,8.4529
00645,52.4083,7.9682
00648,53.8551,9.7152
00650,52.4136,12.5503
00652,49.5353,10.7706
00656,51.7234,10.6021
00660,52.2744,10.5656
00661,52.2708,10.5334
00662,52.2914,10.4465
00685,49.9017,9.4281
00691,53.0450,8.7979
00699,53.1004,8.7834
00701,53.5332,8.5761
00702,53.5876,8.6015
00703,53.4779,9.1553
00704,53.4451,9.1390
00705,53.5312,9.1664
00706,47.8858,7.6611
00710,49.0250,8.6991
00717,51.3873,8.5737
00722,51.7986,10.6183
00727,49.7345,8.9557
00729,50.8282,10.4540
00736,49.6303,7.1148
00738,50.3080,9.7835
00755,49.5182,9.3213
00757,47.9625,7.9983
00760,53.3635,9.9434
00766,50.1746,7.0595
00769,52.2817,9.0889
00771,50.2769,9.1167
00772,48.6957,8.1744
00773,48.6743,8.1799
00793,49.6620,7.1098
00807,49.7450,10.6434
00817,51.0306,8.8146
00833,50.6951,13.4975
00840,50.4313,12.6114
00848,52.6146,10.0726
00850,52.5959,10.0296
00851,49.2504,12.6040
00853,50.7913,12.8720
00856,47.8843,12.5404
00863,51.7904,10.3470
00865,52.8441,8.0624
00867,50.3067,10.9680
00876,51.3040,13.0096
00879,51.7667,14.2833
00880,51.7760,14.3168
00881,49.0985,10.0979
00888,50.8149,12.3821
00891,53.8713,8.7058
00896,51.0778,10.8619
00917,49.8809,8.6779
00918,49.8453,8.6240
00919,49.8697,8.6796
00931,47.8007,9.4108
00948,51.8512,12.2515
00953,49.7619,7.0541
00954,54.1796,7.4587
00963,52.5881,8.3424
00964,50.0832,6.8904
00965,51.2401,13.4166
00970,49.4158,10.6734
00979,50.7364,8.2672
00982,48.5701,10.4985
00983,48.5562,10.5599
00991,50.9117,13.7087
01000,54.1442,11.8454
01001,51.6451,13.5747
01003,51.1333,13.1167
01006,53.1399,11.2544
01018,47.9422,8.5046
01032,51.5120,7.5345
01047,51.0557,13.7274
